name,mass,year,reclat,reclong
Havana,0,301,40.33333,-90.05
Wietrzno-Bobrka,376,601,49.41667,21.7
Nogata,472,860,33.725,130.75
Narni,0,920,42.51667,12.51667
Elbogen,107000,1399,50.18333,12.73333
Rivolta de Bassi,103.3,1490,45.48333,9.51667
Ensisheim,127000,1491,47.86667,7.35
Valdinoce,0,1495,44.06667,12.1
Oliva-Gandia,0,1519,39,-0.03333
Campo del Cielo,50000000,1575,-27.46667,-60.58333
Castrovillari,15000,1583,39.8,16.2
Morito,10100000,1600,27.05,-105.43333
Jalandhar,1967,1621,31,75
Stretchleigh,10400,1623,50.38333,-3.95
Hatford,29000,1628,51.65,-1.51667
Minamino,1040,1632,35.07833,136.93333
Sagan,0,1636,51.53333,14.88333
Mount Vaisi,17000,1637,44.08333,6.86667
Stolzenau,0,1647,52.53333,9.05
Fünen,0,1654,55.33333,10.33333
Novy-Ergi,0,1662,58.55,31.33333
Vago,40,1668,45.41667,11.13333
Ortenau,4500,1671,48.5,8
Sasagase,695,1688,34.71667,137.78333
Barcelona (stone),0,1704,41.36667,2.16667
Schellin,7000,1715,53.35,15.05
Siratik,1700,1716,14,-11
Ploschkovitz,39,1723,50.53333,14.11667
Steinbach,98000,1724,50.5,12.5
Rasgrad,24700,1740,43.5,26.53333
Ogi,14360,1741,33.28333,130.2
Krasnojarsk,700000,1749,54.9,91.8
Nicorps,0,1750,49.03333,-1.43333
Hraschina,49000,1751,46.1,16.33333
Luponnas,14000,1753,46.21667,5
Tabor,7540,1753,49.4,14.65
Albareto,2000,1766,44.65,11.01667
Mauerkirchen,19000,1768,48.18333,13.13333
Lucé,3500,1768,47.85,0.48333
Aire-sur-la-Lys,0,1769,50.66667,2.33333
Sena,4000,1773,41.71667,-0.05
Rodach,2900,1775,50.35,10.8
Owrucz,0,1775,51.33333,28.83333
Toluca,3000000,1776,19.56667,-99.56667
Pettiswood,0,1779,53.53333,-7.33333
Longchang,158500,1781,29.3,105.3
Bendegó,5360000,1784,-10.11667,-39.2
Sierra Blanca,405,1784,27.15,-104.9
Eichstädt,3000,1785,48.9,11.21667
Kharkov,1500,1787,50.625,35.075
Barbotan,6400,1790,43.95,-0.05
Castel Berardenga,0,1791,43.35,11.5
Zacatecas (1792),1000000,1792,22.81667,-102.56667
Cape of Good Hope,136000,1793,-33.5,26
Siena,3700,1794,43.11667,11.6
Wold Cottage,25000,1795,54.13667,-0.41333
Mulletiwu,25.5,1795,9.33333,80.83333
Portugal,4500,1796,38.5,-8
Bjelaja Zerkov,1850,1796,49.78333,30.16667
Prambanan,500000,1797,-7.56667,110.83333
Salles,9000,1798,46.05,4.63333
Benares (a),3700,1798,25.36667,82.91667
Mauritius,220,1801,-20,57
L'Aigle,37000,1803,48.76667,0.63333
Apt,3200,1803,43.86667,5.38333
Mässing,1600,1803,48.13333,12.61667
Charcas,1400000,1804,23.08333,-101.01667
Misteca,10000,1804,16.8,-97.1
High Possil,4500,1804,55.9,-4.23333
Darmstadt,100,1804,49.86667,8.65
Bocas,56,1804,23,-102
Bitburg,1500000,1805,49.96667,6.53333
Doroninsk,3891,1805,51.2,112.3
Asco,41,1805,42.45,9.03333
Alais,6000,1806,44.11667,4.08333
Weston,150000,1807,41.266667,-73.266667
Timochin,65500,1807,54.5,35.2
Red River,800000,1808,32,-95
Stannern,52000,1808,49.28333,15.56667
Lissa,12800,1808,50.2,14.85
Borgo San Donino,1676,1808,44.86667,10.05
Moradabad,70,1808,28.78333,78.83333
Kikino,195,1809,55,34
Santa Rosa,825000,1810,5.91667,-73
Brahin,823000,1810,52.5,30.33333
Charsonville,27000,1810,47.93333,1.56667
Mooresfort,3520,1810,52.45,-8.33333
Caswell County,1360,1810,36.5,-79.25
Kuleschovka,6000,1811,50.75,33.5
Berlanguillas,1440,1811,41.68333,-3.8
Punganaru,100,1811,13.33333,78.95
Chantonnay,31500,1812,46.68333,1.05
Erxleben,2250,1812,52.21667,11.25
Toulouse,1030,1812,43.6,1.4
Borodino,500,1812,55.46667,35.86667
Limerick,50000,1813,52.56667,-8.78333
Luotolax,885,1813,61.2,27.7
Lenarto,108500,1814,49,21
Agen,30000,1814,44.21667,0.61667
Bachmut,18000,1814,48.6,38
Gurram Konda,28,1814,13.78333,78.56667
Chail,0.5,1814,25.36667,81.66667
Durala,13200,1815,30.3,76.63333
Chassigny,4000,1815,47.71667,5.36667
Hachi-oji,0.2,1817,35.65,139.33333
Cape York,58200000,1818,76.13333,-64.93333
Cambria,16300,1818,43.2,-78.8
Seres,8500,1818,41.05,23.56667
Zaborzika,3867,1818,50.28333,27.68333
Slobodka,2750,1818,55,35
Burlington,68000,1819,42.75,-75.18333
Jonzac,5000,1819,45.43333,-0.45
Pohlitz,3000,1819,50.93333,12.13333
Lixna,5213,1820,56,26.43333
Juvinas,91000,1821,44.71667,4.3
Imilac,920000,1822,-24.20333,-68.80667
Futtehpur,4000,1822,25.95,80.81667
Guilford County,1100,1822,35.56667,-79.83333
Épinal,277,1822,48.18333,6.46667
Umbala,100,1822,30.33333,76.33333
Kadonah,89,1822,27.08333,78.33333
Angers,0,1822,47.46667,-0.55
Nobleborough,2300,1823,44.08333,-69.48333
Botschetschki,614,1823,51.33333,33.88333
Zebrak,2000,1824,49.88333,13.91667
Tounkin,2000,1824,51.73333,102.53333
Renazzo,1000,1824,44.76667,11.28333
Yanhuitlan,421000,1825,17.53333,-97.35
Nanjemoy,7500,1825,38.41667,-77.16667
Honolulu,2420,1825,21.3,-157.86667
Pavlograd,40000,1826,48.53333,35.98333
Galapian,132.7,1826,44.3,0.4
Mineo,42,1826,37.28333,14.7
Drake Creek,5000,1827,36.4,-86.5
Bialystok,4000,1827,53.1,23.2
Mhow,350,1827,25.9,83.61667
La Caille,626000,1828,43.73333,6.78333
Richmond,1800,1828,37.46667,-77.5
Bohumilitz,59000,1829,49.05,13.76667
Forsyth,16300,1829,33.01667,-83.96667
Krasnoi-Ugol,2440,1829,54.03333,40.9
Deal,28,1829,40.25,-74
Launton,1060,1830,51.9,-1.11667
Perth,2,1830,56.4,-3.43333
Vouillé,20000,1831,46.63333,0.16667
Wessely,3750,1831,48.95,17.38333
Walker County,74800,1832,34,-87.16667
Blansko,470,1833,49.36667,16.63333
Lime Creek,20000,1834,31.55,-87.51667
Charwallas,12000,1834,29.48333,75.5
Okniny,12000,1834,50.83333,25.5
Charlotte,4300,1835,36.16667,-87.33333
Aldsworth,700,1835,51.78333,-1.78333
Gibeon,26000000,1836,-25.5,18
Wichita County,145000,1836,34.06667,-98.91667
Macau,1500,1836,-5.2,-36.66667
Mascombes,1000,1836,45.36667,1.86667
Aubres,800,1836,44.38333,5.16667
Coahuila,2100000,1837,28.7,-102.73333
Cosby's Creek,960000,1837,35.78333,-83.25
Yonozu,31650,1837,37.75,139
Gross-Divina,10500,1837,49.26667,18.71667
Esnandes,1500,1837,46.25,-1.1
Chandakapur,8800,1838,20.26667,76.01667
Cold Bokkeveld,5200,1838,-33.13333,19.38333
Akbarpur,1800,1838,29.71667,77.95
Simbirsk (of P. Partsch),1500,1838,54.3,48.4
Slobodka (of P. Partsch),950,1838,55,35
Montlivault,500,1838,47.63333,1.58333
Kaee,230,1838,27.25,79.96667
Putnam County,32700,1839,33.25,-83.25
Smithland,5000,1839,37.13333,-88.4
Asheville,800,1839,35.58333,-82.53333
Black Mountain,800,1839,35.58333,-82.35
Little Piney,491,1839,37.91667,-92.08333
Magura,150000,1840,49.33333,19.48333
Carthage,127000,1840,36.26667,-85.98333
Smithville,70500,1840,35.98333,-85.85
Cereseto,6460,1840,45.08333,8.3
Karakol,3000,1840,47.21667,81.01667
Uden,710,1840,51.65,5.61667
Abo,1.2,1840,60.43333,22.3
Château-Renard,30000,1841,47.93333,2.91667
Petropavlovsk,7000,1841,53.35,87.18333
St. Christophe-la-Chartreuse,5500,1841,46.95,-1.5
Grüneberg,1000,1841,51.93333,15.5
Milena,10000,1842,46.18333,16.1
Babb's Mill (Troost's Iron),6400,1842,36.3,-82.88333
Barea,3200,1842,42.38333,-2.5
Aumieres,2000,1842,44.33333,3.23333
Myhee Caunta,0,1842,23.05,72.63333
Utrecht,9700,1843,52.11667,5.18333
Verkhne Tschirskaia,8000,1843,48.41667,43.2
Bishopville,6000,1843,34.16667,-80.28333
Klein-Wenden,3250,1843,51.6,10.8
Berdyansk,2250,1843,46.75,36.81667
Manegaon,50,1843,20.96667,76.1
Picote,0,1843,41.36667,-6.23333
Ruff's Mountain,53070,1844,34.3,-81.4
Favars,1500,1844,44.38333,2.81667
Cosina,1200,1844,21.16667,-100.86667
Killeter,140,1844,54.66667,-7.66667
Barratta,200000,1845,-35.3,144.56667
Le Pressoir,3000,1845,47.16667,0.43333
Le Teilleul,780,1845,48.53333,-0.86667
Netschaëvo,250000,1846,54.23333,35.15
Deep Springs,11500,1846,36.5,-79.75
Schönenberg,8000,1846,48.11667,10.46667
Monte Milone,3130,1846,43.26667,13.35
Assam,2700,1846,26,92
Cape Girardeau,2300,1846,37.26667,-89.58333
Jackson County,450,1846,36.41667,-85.5
Seeläsgen,102000,1847,52.26667,15.55
Braunau,39000,1847,50.6,16.3
Marion (Iowa),28400,1847,41.9,-91.6
Singhur,14180,1847,18.31667,73.91667
Murfreesboro,8600,1847,35.83333,-86.41667
Marmande,3000,1848,44.5,0.15
Dharwar,1800,1848,14.88333,75.6
Ski,850,1848,59.73333,10.86667
Castine,94,1848,44.38333,-68.75
Chesterville,16500,1849,34.7,-81.2
Monroe,8600,1849,35.25,-80.5
Fukue,7.3,1849,32.7,128.85
Tucson,975000,1850,31.85,-110.96667
Kesen,135000,1850,38.98333,141.61667
Schwetz,21500,1850,53.4,18.45
Shalka,4000,1850,23.1,87.3
Seneca Falls,4000,1850,42.91667,-76.78333
Salt River,3600,1850,37.95,-85.78333
Pittsburg,600,1850,40.43333,-80
Botetourt County,500,1850,37.5,-79.75
Nulles,5000,1851,41.63333,0.75
Gütersloh,1000,1851,51.91667,8.38333
Quincay,65,1851,46.6,0.25
Chupaderos,24300000,1852,27,-105.1
Rodeo,44000,1852,25.33333,-104.66667
Mezö-Madaras,22700,1852,46.5,25.73333
Yatoor,13600,1852,14.3,79.76667
Borkut,7000,1852,48.15,24.28333
Mainz,1700,1852,50,8.26667
Bustee,1500,1852,26.78333,82.83333
Cranberry Plains,90,1852,37.23333,-80.73333
Tazewell,27000,1853,36.43333,-83.75
Girgenti,18000,1853,37.31667,13.56667
Segowlie,6930,1853,26.75,84.78333
Union County,6800,1853,34.75,-84
Duruma,577,1853,-4,39.5
Cranbourne,8600000,1854,-38.1,145.3
Madoc,168000,1854,44.5,-77.46667
Duel Hill (1854),21800,1854,35.85,-82.7
Verkhne Udinsk,18000,1854,54.76667,113.98333
Sarepta,14000,1854,48.48333,44.81667
Linum,1862,1854,52.75,12.9
Emmitsburg,450,1854,39.71667,-77.3
Oktibbeha County,156,1854,33.5,-89
Tabarz,150,1854,50.88333,10.51667
Orange River (iron),148800,1855,-30,25
Narraburra,32200,1855,-34.25,147.7
Barranca Blanca,12000,1855,-28.08333,-69.33333
Bremervörde,7250,1855,53.4,9.1
Oesel,6000,1855,58.5,23
Petersburg,1800,1855,35.3,-86.63333
Sabetmahet,1250,1855,27.43333,82.08333
St. Denis Westrem,700,1855,51.05,3.75
Avilez,146,1855,25,-103.5
Nelson County,73030,1856,37.75,-85.5
Hainholz,16500,1856,52.28333,8.91667
Fort Pierre,15900,1856,44.35,-100.38333
Trenzano,11800,1856,45.46667,10
Denton County,5400,1856,33,-97
Oviedo,205,1856,43.4,-5.86667
Mincy,89400,1857,36.55,-93.1
Parnallee,77600,1857,9.23333,78.35
Ohaba,16250,1857,46.06667,23.58333
Locust Grove,10000,1857,33.33333,-84.1
Quenggouk,6045,1857,17.76667,95.18333
Kaba,3000,1857,47.35,21.3
Laurens County,2150,1857,34.5,-82.03333
Stavropol,1500,1857,45.05,41.98333
Heredia,1000,1857,10,-84.1
Les Ormes,125,1857,48.35,3.25
Trenton,505000,1858,43.36667,-88.13333
Molina,144000,1858,38.11667,-1.16667
Augusta County,76000,1858,38.16667,-79.08333
Ausson,50000,1858,43.08333,0.58333
Wooster,22700,1858,40.76667,-81.95
Joel's Iron,1300,1858,-24,-69
Kakowa,577,1858,45.13333,21.66667
Zmenj,246,1858,51.83333,26.83333
Tombigbee River,43000,1859,32.23333,-88.2
Pampanga,10500,1859,15.08333,120.7
Beuste,2000,1859,43.21667,-0.23333
Harrison County,680,1859,38.25,-86.16667
Bethlehem,13.9,1859,42.53333,-73.83333
New Concord,230000,1860,40,-81.76667
Cleveland,115000,1860,34.88333,-84.78333
La Grange,50800,1860,38.4,-85.36667
Dhurmsala,32000,1860,32.23333,76.46667
Coopertown,16800,1860,36.43333,-87
Marshall County,6800,1860,37,-88.25
Victoria West,2950,1860,-31.7,23.75
Alessandria,908,1860,44.88333,8.75
Kheragur,450,1860,26.95,77.88333
Sologne,54,1860,47.36667,1.73333
Kusiali,5,1860,29.68333,78.38333
Vaca Muerta,3828000,1861,-25.75,-70.5
Lutschaunig's Stone,100000,1861,-27,-70
Butsura,29000,1861,27.08333,84.08333
Grosnaja,3500,1861,43.66667,45.38333
