name,mass,massRound,year,reclat,reclong
Hoba,60000000,8,1920,-19.58333,17.91667
Cape York,58200000,8,1818,76.13333,-64.93333
Campo del Cielo,50000000,8,1575,-27.46667,-60.58333
Canyon Diablo,30000000,7,1891,35.05,-111.03333
Armanty,28000000,7,1898,47,88
Gibeon,26000000,7,1836,-25.5,18
Chupaderos,24300000,7,1852,27,-105.1
Mundrabilla,24000000,7,1911,-30.78333,127.55
Sikhote-Alin,23000000,7,1947,46.16,134.65333
Bacubirito,22000000,7,1863,26.2,-107.83333
Mbosi,16000000,7,1930,-9.11667,33.06667
Willamette,15500000,7,1902,45.36667,-122.58333
Morito,10100000,7,1600,27.05,-105.43333
Nantan,9500000,7,1958,25.1,107.7
Cranbourne,8600000,7,1854,-38.1,145.3
Santa Catharina,7000000,7,1875,-26.21667,-48.6
Bendegó,5360000,7,1784,-10.11667,-39.2
Brenham,4300000,7,1882,37.5825,-99.16361
Jilin,4000000,7,1976,44.05,126.16667
Vaca Muerta,3828000,7,1861,-25.75,-70.5
Youndegin,3800000,7,1884,-32.1,117.71667
Toluca,3000000,6,1776,19.56667,-99.56667
Yingde,3000000,6,1964,24.2,113.4
Xifu,3000000,6,2004,36.3,120.48333
Al Haggounia 001,3000000,6,2006,27.5,-12.5
Old Woman,2753000,6,1976,34.46667,-115.23333
Wabar,2550000,6,1863,21.49972,50.47222
Huckitta,2300000,6,1924,-22.36667,135.76667
Navajo,2184000,6,1921,35.33333,-109.5
Coahuila,2100000,6,1837,28.7,-102.73333
Henbury,2000000,6,1931,-24.56667,133.16667
Allende,2000000,6,1969,26.96667,-105.31667
Zhaoping,2000000,6,1983,24.23333,111.18333
Campinorte,2000000,6,1992,-14.258,-49.15917
Santa Luzia,1918000,6,1921,-16.26667,-47.95
Ghubara,1750000,6,1954,19.22778,56.14278
Odessa (iron),1600000,6,1922,31.71667,-102.4
Gebel Kamil,1600000,6,2009,22.01833,26.08778
Casas Grandes,1545000,6,1867,30.4,-107.8
Bitburg,1500000,6,1805,49.96667,6.53333
Quinn Canyon,1450000,6,1908,38.08333,-115.53333
Charcas,1400000,6,1804,23.08333,-101.01667
Santa Apolonia,1316000,6,1872,19.21667,-98.3
Tsarev,1225300,6,1968,48.7,45.7
Alkhamasin,1200000,6,1973,20.6,44.88333
Kouga Mountains,1173000,6,1903,-33.61667,24
Goose Lake,1169500,6,1938,41.98,-120.54167
Murnpeowie,1143000,6,1909,-29.58333,139.9
Norton County,1100000,6,1948,39.68333,-99.86667
Kunya-Urgench,1100000,6,1998,42.25,59.2
Fukang,1003000,6,2000,44.43333,87.63333
Zacatecas (1792),1000000,6,1792,22.81667,-102.56667
Bilibino,1000000,6,1981,67.3,160.8
Los Sauces,997000,6,1937,-29.41667,-66.85
Tucson,975000,6,1850,31.85,-110.96667
Cosby's Creek,960000,6,1837,35.78333,-83.25
Imilac,920000,6,1822,-24.20333,-68.80667
Zhigansk,900000,6,1966,68,128.3
Bondoc,888600,6,1956,13.51667,122.45
Santa Rosa,825000,6,1810,5.91667,-73
Brahin,823000,6,1810,52.5,30.33333
Red River,800000,6,1808,32,-95
Sardis,800000,6,1940,32.94889,-81.865
Wolf Creek,760000,6,1947,-19.3,127.76667
Esquel,755000,6,1951,-42.9,-71.33333
Gladstone (iron),736600,6,1915,-23.9,151.3
Mount Dooling,734000,6,1909,-29.45,119.71667
Krasnojarsk,700000,6,1749,54.9,91.8
Plainview (1917),700000,6,1917,34.11667,-101.78333
Davis Mountains,689000,6,1903,30.75,-104.25
Arispe,683000,6,1896,30.33333,-109.98333
Zerhamra,630000,6,1967,29.85861,-2.645
Itapuranga,628000,6,,-15.58333,-50.15
La Caille,626000,6,1828,43.73333,6.78333
Jianshi,600000,6,1890,30.80833,109.5
Adzhi-Bogdo (iron),582000,6,1952,44.86667,95.41667
Long Island,564000,6,1891,39.93333,-99.6
Jiddat al Harasis 073,550000,6,2002,19.7,55.73333
Rateldraai,549000,6,1909,-28.83333,21.13333
Drum Mountains,529000,6,1944,39.5,-112.9
Grant,525000,6,1929,35.16667,-107.88333
Tamentit,510000,6,1864,27.71667,-0.25
Trenton,505000,6,1858,43.36667,-88.13333
Haig,503000,6,1951,-31.38333,125.63333
Prambanan,500000,6,1797,-7.56667,110.83333
Knyahinya,500000,6,1866,48.9,22.4
Ochansk,500000,6,1887,57.78333,55.26667
Boxhole,500000,6,1937,-22.61667,135.2
El Timbu,500000,6,1942,-33.11667,-60.96667
Wildara,500000,6,1968,-28.23333,120.85
Jepara,499500,6,2008,-6.6,110.73333
Saint-Aubin,472000,6,1968,48.48333,3.58333
Carbo,454000,6,1923,29.66667,-111.5
Etter,450000,6,1965,35.98333,-101.9
Sayh al Uhaymir 001,450000,6,2000,20.51667,56.66667
Wallapai,430000,6,1927,35.8,-113.7
Yanhuitlan,421000,6,1825,17.53333,-97.35
Paragould,408000,6,1930,36.06667,-90.5
Allan Hills A76009,407000,6,1976,-76.71667,159.66667
Augustinovka,400000,6,1890,48.06667,35.08333
Pei Xian,400000,6,1917,34.7,117
Mount Joy,384000,6,1887,39.78333,-77.21667
Mont Dieu,360000,6,1994,49.55,4.86667
Hugoton,350000,6,1927,37.2,-101.35
Longtian,350000,6,1991,27.35,108.5
Kokstad,341000,6,1884,-30.55,29.41667
