Team,x,y,z
CANUCKS,51,111,51
RANGERS,51,109,39
BLUES,49,109,45
PENGUINS,51,108,61
PREDATORS,48,104,27
FLYERS,47,103,32
BRUINS,49,102,67
RED_WINGS,48,102,45
DEVILS,48,102,19
BLACKHAWKS,45,101,10
COYOTES,42,97,12
SHARKS,43,96,18
KINGS,40,95,15
PANTHERS,38,94,-24
CAPITALS,42,92,-8
SENATORS,41,92,9
FLAMES,37,90,-24
STARS,42,89,-11
SABRES,39,89,-12
AVALANCHE,41,88,-12
LIGHTNING,38,84,-46
JETS,37,84,-21
HURRICANES,33,82,-30
WILD,35,81,-49
DUCKS,34,80,-27
MAPLE_LEAFS,35,81,-33
ISLANDERS,34,79,-52
CANADIENS,31,78,-14
OILERS,32,74,-27
BLUE_JACKETS,29,65,-60
